"","conference","link"
"256","Conference_USA_F","https://tf.tfrrs.org/teams/tf/KY_college_f_Western_Kentucky.html"
"257","Conference_USA_M","https://tf.tfrrs.org/teams/tf/VA_college_m_Liberty.html"
"258","Conference_USA_M","https://tf.tfrrs.org/teams/tf/LA_college_m_Louisiana_Tech.html"
"259","Conference_USA_M","https://tf.tfrrs.org/teams/tf/TX_college_m_Sam_Houston.html"
"260","Conference_USA_M","https://tf.tfrrs.org/teams/tf/TX_college_m_UTEP.html"
"261","Conference_USA_M","https://tf.tfrrs.org/teams/tf/KY_college_m_Western_Kentucky.html"
"262","Conference_USA_M","https://tf.tfrrs.org/teams/tf/TN_college_m_Mid_Tenn_State.html"
"263","Conference_USA_M","https://tf.tfrrs.org/teams/tf/FL_college_m_Florida_Intl.html"
"264","Conference_USA_M","https://tf.tfrrs.org/teams/tf/AL_college_m_Jacksonville_St.html"
"265","Conference_USA_M","https://tf.tfrrs.org/teams/tf/NM_college_m_New_Mexico_State.html"
"266","HBCU_F","https://tf.tfrrs.org/teams/tf/DC_college_f_Howard.html"
"267","HBCU_F","https://tf.tfrrs.org/teams/tf/MD_college_f_Coppin_State.html"
"268","HBCU_F","https://tf.tfrrs.org/teams/tf/TX_college_f_Prairie_View.html"
"269","HBCU_F","https://tf.tfrrs.org/teams/tf/FL_college_f_Florida_AM.html"
"270","HBCU_F","https://tf.tfrrs.org/teams/tf/MO_college_f_Lincoln_MO.html"
"271","HBCU_F","https://tf.tfrrs.org/teams/tf/AL_college_f_Alabama_State.html"
"272","HBCU_F","https://tf.tfrrs.org/teams/tf/LA_college_f_Southern.html"
"273","HBCU_F","https://tf.tfrrs.org/teams/tf/NC_college_f_Winston_Salem_St.html"
"274","HBCU_F","https://tf.tfrrs.org/teams/tf/VA_college_f_Norfolk_State.html"
"275","HBCU_F","https://tf.tfrrs.org/teams/tf/AL_college_f_Miles.html"
"276","HBCU_F","https://tf.tfrrs.org/teams/tf/LA_college_f_Dillard.html"
"277","HBCU_F","https://tf.tfrrs.org/teams/tf/NC_college_f_St_Augustines.html"
"278","HBCU_F","https://tf.tfrrs.org/teams/tf/TN_college_f_Tennessee_St.html"
"279","HBCU_F","https://tf.tfrrs.org/teams/tf/FL_college_f_Florida_Memorial.html"
"280","HBCU_F","https://tf.tfrrs.org/teams/tf/LA_college_f_Xavier_Louisiana.html"
"281","HBCU_F","https://tf.tfrrs.org/teams/tf/GA_college_f_Albany_State.html"
"282","HBCU_F","https://tf.tfrrs.org/teams/tf/AL_college_f_Alabama_AM.html"
"283","HBCU_F","https://tf.tfrrs.org/teams/tf/LA_college_f_Grambling.html"
"284","HBCU_F","https://tf.tfrrs.org/teams/tf/AR_college_f_Arkansas_Pine_Bluff.html"
"285","HBCU_F","https://tf.tfrrs.org/teams/tf/NC_college_f_Fayetteville_St.html"
"286","HBCU_F","https://tf.tfrrs.org/teams/tf/SC_college_f_South_Carolina_State.html"
"287","HBCU_F","https://tf.tfrrs.org/teams/tf/MD_college_f_Maryland_Eastern_Shore.html"
"288","HBCU_F","https://tf.tfrrs.org/teams/tf/TX_college_f_Texas_Southern.html"
"289","HBCU_F","https://tf.tfrrs.org/teams/tf/AL_college_f_Tuskegee.html"
"290","HBCU_F","https://tf.tfrrs.org/teams/tf/FL_college_f_Bethune_Cookman.html"
"291","HBCU_F","https://tf.tfrrs.org/teams/tf/NC_college_f_NC_Central.html"
"292","HBCU_F","https://tf.tfrrs.org/teams/tf/GA_college_f_Fort_Valley_State.html"
"293","HBCU_F","https://tf.tfrrs.org/teams/tf/VA_college_f_Virginia_Union.html"
"294","HBCU_F","https://tf.tfrrs.org/teams/tf/OH_college_f_Central_State.html"
"295","HBCU_F","https://tf.tfrrs.org/teams/tf/TX_college_f_Huston_Tillotson.html"
